Designator,Mid X,Mid Y,Rotation,Layer
AMB.LIGHT1,188.1148,-108.04695,0.0,top
C1,229.7858,-99.71275,180.0,top
C10,191.98425,-101.31125,270.0,top
C11,194.39,-98.38,0.0,top
C12,182.6,-96.86825,180.0,top
C13,195.01,-93.95,0.0,top
C14,180.07835,-94.06135,270.0,top
C15,180.07835,-96.44265,90.0,top
C16,211.22875,-91.22625,90.0,top
C17,215.79625,-84.47555,270.0,top
C2,229.3311,-87.88905,0.0,top
C3,194.01,-99.43,0.0,top
C4,195.009875,-95.1411,0.0,top
C5,190.8725,-89.72125,90.0,top
C6,187.1125,-100.65125,270.0,top
C7,187.0125,-89.70125,90.0,top
C8,182.6,-95.75,180.0,top
C9,190.79365,-101.31125,270.0,top
CONN01X2,236.3341,-81.71125,0.0,top
D1,169.06875,-45.24375,90.0,top
D10,188.11875,-61.9125,270.0,top
D11,207.16875,-61.9125,270.0,top
D12,226.21875,-61.9125,270.0,top
D13,169.06875,-69.05525,270.0,top
D14,188.11875,-69.05625,270.0,top
D15,207.16875,-69.05625,270.0,top
D16,226.21875,-69.05625,270.0,top
D17,169.06875,-76.2,270.0,top
D18,188.11875,-76.2,270.0,top
D19,207.16875,-76.2,270.0,top
D2,188.11875,-45.3125,90.0,top
D20,226.21875,-76.2,270.0,top
D3,207.16875,-45.24375,90.0,top
D4,226.21875,-45.24375,90.0,top
D5,169.06875,-54.76875,270.0,top
D6,188.11875,-54.76875,270.0,top
D7,207.16875,-54.76875,270.0,top
D8,226.21875,-54.76875,270.0,top
D9,169.06875,-61.9125,270.0,top
FLASH1,207.16875,-88.10625,180.0,top
OSC.1,177.69705,-95.252,270.0,top
R1,228.24,-105.54,180.0,top
R2,228.8487,-110.3513,180.0,top
R3,228.8487,-109.2871,180.0,top
R4,228.24,-104.3494,180.0,top
R5,194.72,-96.21,0.0,top
R6,194.72,-97.30435,0.0,top
R7,211.063375,-81.602325,270.0,top
R8,209.575125,-81.602325,90.0,top
R9,182.38,-94.71,0.0,top
RP2040,188.11875,-95.25,270.0,top
S1,159.535,-117.885,0.0,top
S2,188.11,-117.885,0.0,top
S3,207.16,-117.885,0.0,top
S4,226.21,-117.885,0.0,top
TEMP1,207.1644,-107.45165,0.0,top
U5,228.29755,-93.75975,270.0,top
USB-C1,235.74375,-107.15625,270.0,bottom
