Designator,Footprint,Quantity,Value,LCSC Part #
AMB.LIGHT1,SMT_6000X01_VIS,1,TEMT6000X01,
"C1, C17, C2",0805,3,10u,
"C10, C12, C13, C16, C4, C5, C6, C7, C8, C9",0402,10,100n,
"C11, C3",0402,2,1u,
"C14, C15",0402,2,15p,
CONN01X2,PinHeader_1x02_P1.00mm_Vertical,1,Conn_01x02 USB_BOOT,
"D1, D2, D3, D4",LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm,4,SK6812,
"D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D20, D5, D6, D7, D8, D9",LED_SK6812MINI_PLCC4_3.5x3.5mm_P1.75mm,16,SK6812MINI,
FLASH1,SOIC-8_5.23x5.23mm_P1.27mm,1,W25Q128JVS,
OSC.1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,ABM8-272-T3,
"R1, R2",0402,2,5.1 kΩ,
"R3, R4",0402,2,1 MΩ,
"R5, R6",0402,2,27 Ω,
"R7, R9",0402,2,1 kΩ,
R8,0402,1,DO NOT FIT,
RP2040,RP2040-QFN-56,1,MCU_RaspberryPi_RP2040_RP2040,
"S1, S2, S3, S4",MX_PCB_1.00u,4,Keyswitch,
TEMP1,SOT95P280X145-5N,1,TMP36GRTZ-REEL7,
U5,SOT-223-3_TabPin2,1,NCP1117-3.3_SOT223,
USB-C1,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,1,USB_C_Receptacle_USB2.0_16P,
